step,cfg_version,Single,Duplicated,Fragmented,Missing,N50_Kbp,Largest_ctg_Kbp
2,1,376,80,85,217,231.7,2067.9
3,1,392,140,52,174,216.3,2075.5
4,1,327,398,3,30,217.6,2229.7
2,2,417,75,54,212,123.1,1441
3,2,413,131,39,175,114.5,1441.2
4,2,401,306,6,45,115.4,1446.1
2,3,398,102,63,195,171.5,2176.5
3,3,366,184,42,166,160.9,2185.3
4,3,353,343,4,58,161.4,2193.2
